cohort_month,months_since_first,order_margin,cohort_customers,cum_margin_per_customer
2017-07,7,408484.00999999995,3822,106.87703035060177
2017-07,8,408582.58999999997,3822,106.90282312925169
2017-07,9,410182.56,3822,107.3214442700157
2017-07,10,411032.92,3822,107.54393511250653
2017-07,11,411706.47,3822,107.72016483516482
2017-07,12,412845.67,3822,108.01822867608581
2017-07,13,413391.29,3822,108.16098639455782
2017-08,0,467209.87,4130,113.1258765133172
2017-08,1,470694.62,4130,113.96964164648911
2017-08,2,472275.97,4130,114.35253510895883
2017-08,3,472870.83,4130,114.49656900726393
2017-08,4,474090.93,4130,114.79199273607748
2017-08,5,476261.58999999997,4130,115.31757627118644
2017-08,6,477576.14,4130,115.63586924939467
2017-08,7,478827.51,4130,115.93886440677966
2017-08,8,480290.86,4130,116.29318644067796
2017-08,9,481221.51,4130,116.51852542372882
2017-08,10,482063.01,4130,116.72227845036319
2017-08,11,483628.69,4130,117.10137772397094
2017-08,12,484042.65,4130,117.20161016949153
2017-09,0,517839.82,4075,127.0772564417178
2017-09,1,520152.59,4075,127.6448073619632
2017-09,2,522617.5,4075,128.24969325153376
2017-09,3,523860.88,4075,128.55481717791412
2017-09,4,526357.67,4075,129.16752638036812
2017-09,5,527568.9,4075,129.46476073619633
2017-09,6,528245.7,4075,129.63084662576685
2017-09,7,528870.85,4075,129.78425766871166
2017-09,8,529672.63,4075,129.98101349693252
2017-09,9,529941.23,4075,130.04692760736197
2017-09,10,530819.62,4075,130.26248343558282
2017-09,11,531004.16,4075,130.30776932515337
2017-10,0,546206.08,4392,124.3638615664845
2017-10,1,549076.37,4392,125.01738843351548
2017-10,2,550081.98,4392,125.24635245901639
2017-10,3,550544.8999999999,4392,125.35175318761382
2017-10,4,551455.96,4392,125.55918943533696
2017-10,5,552416.73,4392,125.77794398907103
2017-10,6,552957.6699999999,4392,125.90110883424407
2017-10,7,554502.0299999999,4392,126.25273907103823
2017-10,8,556389.32,4392,126.6824499089253
2017-10,9,557776.71,4392,126.99834016393442
2017-10,10,558379.46,4392,127.13557832422586
2017-11,0,823091.1900000001,7188,114.5090692821369
2017-11,1,829243.4600000001,7188,115.36497774067892
2017-11,2,832115.01,7188,115.76446994991653
2017-11,3,833094.6900000001,7188,115.90076377295493
2017-11,4,834821.01,7188,116.1409307178631
2017-11,5,836265.5700000001,7188,116.34189899833056
2017-11,6,837086.4500000001,7188,116.45610044518644
2017-11,7,838256.0700000001,7188,116.61881886477464
2017-11,8,839255.51,7188,116.75786171396773
2017-11,9,839584.18,7188,116.80358653311075
2017-12,0,609157.06,5437,112.03918705168293
2017-12,1,611093.3,5437,112.39530991355528
2017-12,2,612277.68,5437,112.61314695604194
2017-12,3,613928.54,5437,112.9167813132242
2017-12,4,615381.9800000001,5437,113.18410520507635
2017-12,5,616929.66,5437,113.46876218502851
2017-12,6,617895.06,5437,113.64632334007726
2017-12,7,618081.9,5437,113.68068787934523
2017-12,8,619356.6100000001,5437,113.91513886334377
2018-01,0,773408.52,6951,111.26579197237808
2018-01,1,776112.67,6951,111.65482232772264
2018-01,2,778438.1900000001,6951,111.98938138397354
2018-01,3,780713.63,6951,112.31673572147892
2018-01,4,782539.61,6951,112.57942885915695
2018-01,5,783561.97,6951,112.72650985469716
2018-01,6,784230.49,6951,112.82268594446842
2018-01,7,785184.97,6951,112.96000143864192
2018-02,0,685761.16,6356,107.89193832599119
2018-02,1,688056.9,6356,108.25313089993708
2018-02,2,690467.9,6356,108.63245752045312
2018-02,3,693082.68,6356,109.04384518565136
2018-02,4,694309.62,6356,109.23688168659534
2018-02,5,696371.74,6356,109.56131843926998
2018-02,6,697543.4500000001,6356,109.74566551290121
2018-03,0,796187.07,6931,114.87333285240224
2018-03,1,798291.86,6931,115.17701053239071
2018-03,2,800378.97,6931,115.47813735391718
2018-03,3,802714.87,6931,115.81515942865387
2018-03,4,803817.47,6931,115.97424181214832
2018-03,5,804127.48,6931,116.01896984562111
2018-04,0,813572.6900000001,6698,121.46501791579577
2018-04,1,817081.3,6698,121.98884741713945
2018-04,2,819723.5800000001,6698,122.38333532397732
2018-04,3,820850.4700000001,6698,122.55157808300987
2018-04,4,821350.4900000001,6698,122.62623021797553
2018-05,0,820020.21,6586,124.5095976313392
2018-05,1,826141.74,6586,125.43907379289402
2018-05,2,827791.07,6586,125.68950349225629
2018-05,3,828929.59,6586,125.86237321591254
2018-06,0,685352.64,5920,115.76902702702704
2018-06,1,687080.11,5920,116.06082939189189
2018-06,2,688256.86,5920,116.25960472972973
2018-07,0,700016.87,6017,116.33984876184145
2018-07,1,702900.87,6017,116.81915738740236
2018-08,0,685708.27,6209,110.43779513609277
2018-08,1,685831.81,6209,110.45769205991304
